Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,normalized_solar_radiation,avg_solar_radiation
-12.75,131.75,0.9719943422913719,0.9822428333198386,0.08759565453884993,-0.0087874802780182,19.8,0.07803076,0.08989394474317758,501.09982
-12.75,132.0,0.94002828854314,0.9951204695432346,0.09322967380849036,-0.0024323043468896,42.4,0.0815264,0.09148846683921186,500.6942
-12.75,132.25,0.902970297029703,0.9937019321848295,0.09142146056032913,0.0031323594129866,68.6,0.08040449,0.10042666694131763,498.42047
-12.75,132.5,0.8647807637906648,0.9981899063859789,0.09144752219470513,0.0009175223786206,95.6,0.08042066,0.10712836130875358,496.71567
-12.75,132.75,0.8263083451202263,0.9916204484207544,0.10648510134692683,-0.0041595817454868,122.8,0.08975076,0.11928894110752408,493.62222
-12.75,133.0,0.7875530410183875,0.9751817338942956,0.14585162717965883,-0.0122721670899495,150.2,0.11417581,0.13460978963920722,489.72485
-12.75,133.25,0.7487977369165488,0.9748765224336654,0.19519587471501557,-0.0124227904260069,177.6,0.14479156,0.14387230331786938,487.36862
-12.75,133.5,0.7148514851485148,0.9778054697457869,0.2344466785101349,-0.0109773407224565,201.6,0.16914481,0.1509124238162841,485.57773
-12.75,133.75,0.7038189533239039,0.9816537935397595,0.2337811800902097,-0.0090781742662546,209.4,0.1687319,0.16327203387421896,482.43365
-12.75,134.0,0.6888260254596889,0.9785725188831794,0.212090502459962,-0.0105987982530634,220.0,0.15527387,0.17646931641734687,479.07648
-12.75,134.25,0.6697312588401697,0.9760299827981254,0.1962240279494702,-0.0118535521420112,233.5,0.14542948,0.18902025183008186,475.88373
-12.75,134.5,0.6475247524752475,0.9833378956798428,0.1856211171327795,-0.0082470616924443,249.2,0.13885088,0.2000079171823418,473.08865
-12.75,134.75,0.6226308345120226,0.9909340954009359,0.15378216479126963,-0.0044983002894912,266.8,0.11909633,0.21410219211211978,469.5033
-12.75,135.0,0.5956152758132957,0.9986101070301984,0.13896837400844225,0.0007101513227791,285.9,0.10990508,0.22613104163270392,466.44336
-12.75,135.25,0.5666195190947667,0.9997478477154669,0.15575354933591976,0.0001486707767028,306.4,0.12031948,0.24949073923564913,460.50104
-12.75,135.5,0.5363507779349364,0.9775523271875636,0.16302428759619866,-0.0111022678026486,327.8,0.124830626,0.2738124491835021,454.314
-12.75,135.75,0.5048090523338048,0.9630535056763644,0.14689228741984986,-0.0182575065358486,350.1,0.11482149,0.2982954117726929,448.08594
-12.75,136.0,0.4724186704384724,0.9586483714452164,0.12124216737886596,-0.0204314616432557,373.0,0.098906815,0.31389839346061177,444.1168
-12.75,136.25,0.43903818953323903,0.9531016221932157,0.12422396164944595,-0.0231688093001399,396.6,0.100756876,0.3219681014600675,442.064
-12.75,136.5,0.4052333804809052,0.9299683276333778,0.20629456904131646,-0.0345852023589291,420.5,0.15167777,0.3028191340921852,446.93518
-12.75,142.0,0.34710042432814703,0.8923676456252493,0.2266302673258688,0.0531413212884217,461.6,0.1642951,0.30578434295032497,446.18088
-12.75,142.25,0.37397454031117394,0.8989041220379811,0.1966682845295195,0.049915538477667,442.6,0.14570512,0.32000354740086634,442.56375
-12.75,142.5,0.4014144271570015,0.9134926200834483,0.21100853364283484,0.042716043939886,423.2,0.15460256,0.3190319825469764,442.8109
-12.75,142.75,0.42814710042432813,0.9211966944783451,0.24422203170241644,0.0389140458622326,404.3,0.17520995,0.317722935019785,443.1439
-12.75,143.0,0.45346534653465354,0.9256482586786365,0.301844547066862,0.0367171773398738,386.4,0.21096197,0.31188226371505423,444.62967
