Longitude,Latitude,avg_wind_speed
143.25,-14.75,5.7195244
143.5,-14.75,5.318408
143.75,-14.75,4.9566307
144.0,-14.75,5.180629
144.25,-14.75,5.419482
144.5,-14.75,5.554396
144.75,-14.75,6.13057
145.0,-14.75,7.3903933
125.5,-15.0,3.3991008
125.75,-15.0,3.6976883
126.0,-15.0,4.131817
126.25,-15.0,4.5716577
126.5,-15.0,4.5815706
126.75,-15.0,4.4808354
127.0,-15.0,4.776267
127.25,-15.0,5.255733
127.5,-15.0,5.3602767
127.75,-15.0,5.0906324
128.0,-15.0,4.72085
128.25,-15.0,4.9213114
128.5,-15.0,4.9217954
128.75,-15.0,5.1071405
129.0,-15.0,5.24714
129.25,-15.0,5.282966
129.5,-15.0,5.2366576
129.75,-15.0,5.120542
130.0,-15.0,4.8401814
130.25,-15.0,4.835792
130.5,-15.0,4.7752004
130.75,-15.0,4.7954154
131.0,-15.0,5.2533803
131.25,-15.0,5.193741
131.5,-15.0,4.9444947
131.75,-15.0,4.9358873
132.0,-15.0,5.1248875
132.25,-15.0,5.2680736
132.5,-15.0,5.3862424
132.75,-15.0,5.496723
133.0,-15.0,5.2934732
133.25,-15.0,5.1665096
133.5,-15.0,5.170501
133.75,-15.0,5.241022
134.0,-15.0,5.2503295
134.25,-15.0,5.189162
134.5,-15.0,5.189054
134.75,-15.0,5.1382303
135.0,-15.0,4.9277606
135.25,-15.0,5.0909233
135.5,-15.0,5.688373
141.75,-15.0,5.2848816
142.0,-15.0,5.0859985
142.25,-15.0,5.2654033
142.5,-15.0,5.4583497
142.75,-15.0,5.646031
143.0,-15.0,5.7547283
143.25,-15.0,5.7617893
143.5,-15.0,5.4805827
143.75,-15.0,5.1481724
144.0,-15.0,5.2064033
144.25,-15.0,5.4314337
144.5,-15.0,5.837089
144.75,-15.0,5.988361
145.0,-15.0,6.4103017
145.25,-15.0,7.6492524
125.0,-15.25,3.5494895
125.25,-15.25,3.2408473
125.5,-15.25,3.3172162
125.75,-15.25,3.7586908
126.0,-15.25,4.349731
126.25,-15.25,4.735826
126.5,-15.25,4.757448
126.75,-15.25,4.789668
127.0,-15.25,5.0833707
127.25,-15.25,5.406965
127.5,-15.25,5.4175057
127.75,-15.25,4.792169
128.0,-15.25,4.3353047
128.5,-15.25,4.724775
128.75,-15.25,4.8177085
129.0,-15.25,4.7189436
129.25,-15.25,4.722853
129.5,-15.25,4.789082
129.75,-15.25,4.7866707
130.0,-15.25,4.737376
130.25,-15.25,4.835637
130.5,-15.25,4.729122
130.75,-15.25,4.925815
131.0,-15.25,5.366177
131.25,-15.25,5.403065
131.5,-15.25,5.241723
131.75,-15.25,5.2534027
132.0,-15.25,5.374432
132.25,-15.25,5.3024025
132.5,-15.25,5.380617
132.75,-15.25,5.5112286
133.0,-15.25,5.44196
133.25,-15.25,5.2655826
133.5,-15.25,5.199824
133.75,-15.25,5.250521
134.0,-15.25,5.2335534
134.25,-15.25,5.171289
134.5,-15.25,5.251573
134.75,-15.25,5.2338605
135.0,-15.25,5.043159
135.25,-15.25,4.9744935
135.5,-15.25,5.2366385
135.75,-15.25,5.401688
141.75,-15.25,5.1389832
142.0,-15.25,5.0503736
142.25,-15.25,5.2247868
142.5,-15.25,5.486175
142.75,-15.25,5.641425
143.0,-15.25,5.8267655
143.25,-15.25,5.8144903
143.5,-15.25,5.6722255
143.75,-15.25,5.3312917
144.0,-15.25,5.26744
144.25,-15.25,5.249627
144.5,-15.25,5.768298
144.75,-15.25,6.0842123
145.0,-15.25,6.3104186
145.25,-15.25,7.402622
124.5,-15.5,4.181967
124.75,-15.5,3.612636
125.0,-15.5,3.2184124
125.25,-15.5,3.2080255
125.5,-15.5,3.4205995
125.75,-15.5,3.9336946
126.0,-15.5,4.570013
126.25,-15.5,4.833974
126.5,-15.5,4.868851
126.75,-15.5,5.0326724
127.0,-15.5,5.319974
127.25,-15.5,5.5827403
127.5,-15.5,5.142698
127.75,-15.5,4.4460754
128.0,-15.5,3.9582312
128.25,-15.5,4.294501
128.5,-15.5,4.5069423
128.75,-15.5,4.696906
129.0,-15.5,4.6864505
129.25,-15.5,4.82068
129.5,-15.5,4.9454637
129.75,-15.5,4.7152696
130.0,-15.5,4.6593633
130.25,-15.5,4.9925246
130.5,-15.5,4.946682
130.75,-15.5,4.899042
131.0,-15.5,5.0578175
131.25,-15.5,5.2250323
131.5,-15.5,5.458637
131.75,-15.5,5.500353
132.0,-15.5,5.423431
132.25,-15.5,5.2998614
132.5,-15.5,5.3445153
132.75,-15.5,5.500346
133.0,-15.5,5.490693
133.25,-15.5,5.372249
133.5,-15.5,5.292826
133.75,-15.5,5.3254986
134.0,-15.5,5.2820115
134.25,-15.5,5.298043
134.5,-15.5,5.395389
134.75,-15.5,5.4624763
135.0,-15.5,5.234408
135.25,-15.5,5.046361
135.5,-15.5,5.0091696
135.75,-15.5,5.051028
136.0,-15.5,5.1467614
136.25,-15.5,5.546009
141.5,-15.5,5.3410296
141.75,-15.5,4.8735213
142.0,-15.5,4.883186
142.25,-15.5,5.128834
142.5,-15.5,5.2957306
142.75,-15.5,5.5031996
143.0,-15.5,5.6042395
143.25,-15.5,5.743779
143.5,-15.5,5.6022363
143.75,-15.5,5.3309216
144.0,-15.5,5.1615725
144.25,-15.5,5.223796
144.5,-15.5,5.690768
144.75,-15.5,5.8856573
145.0,-15.5,6.004974
145.25,-15.5,7.1073947
124.5,-15.75,4.1193056
124.75,-15.75,3.578719
125.0,-15.75,3.4157207
125.25,-15.75,3.482681
125.5,-15.75,3.6084993
125.75,-15.75,4.1079373
126.0,-15.75,4.7213364
126.25,-15.75,4.8882213
126.5,-15.75,4.9549103
126.75,-15.75,5.246839
127.0,-15.75,5.5084677
127.25,-15.75,5.3958883
127.5,-15.75,4.9715037
127.75,-15.75,4.309375
128.0,-15.75,3.8088436
128.25,-15.75,4.007026
128.5,-15.75,4.2993355
128.75,-15.75,4.66251
129.0,-15.75,5.110923
129.25,-15.75,5.3183866
129.5,-15.75,5.2004333
129.75,-15.75,4.9821153
130.0,-15.75,5.003937
130.25,-15.75,5.443059
130.5,-15.75,5.340266
130.75,-15.75,4.9130516
131.0,-15.75,4.9874573
131.25,-15.75,5.2414227
131.5,-15.75,5.4963665
131.75,-15.75,5.680258
132.0,-15.75,5.5997024
132.25,-15.75,5.4171004
132.5,-15.75,5.4244184
132.75,-15.75,5.513719
133.0,-15.75,5.4981155
133.25,-15.75,5.411459
133.5,-15.75,5.421597
133.75,-15.75,5.4112573
134.0,-15.75,5.3920817
134.25,-15.75,5.3702083
134.5,-15.75,5.533456
134.75,-15.75,5.6280265
135.0,-15.75,5.384273
135.25,-15.75,5.093901
135.5,-15.75,5.024004
135.75,-15.75,4.9133215
136.0,-15.75,4.94967
136.25,-15.75,5.0473533
136.5,-15.75,5.4620037
137.0,-15.75,5.855767
141.5,-15.75,5.123698
141.75,-15.75,4.870197
142.0,-15.75,4.898032
142.25,-15.75,4.992353
142.5,-15.75,5.1520023
142.75,-15.75,5.2323923
143.0,-15.75,5.383863
143.25,-15.75,5.402645
143.5,-15.75,5.446263
143.75,-15.75,5.185159
144.0,-15.75,5.0275393
144.25,-15.75,5.2475266
144.5,-15.75,5.490431
144.75,-15.75,5.4132953
145.0,-15.75,5.486583
145.25,-15.75,6.5418158
124.75,-16.0,3.7549202
125.0,-16.0,3.655526
125.25,-16.0,3.7738748
125.5,-16.0,3.931505
125.75,-16.0,4.274825
126.0,-16.0,4.8180175
126.25,-16.0,5.010503
126.5,-16.0,5.1169405
126.75,-16.0,5.3770986
127.0,-16.0,5.312006
127.25,-16.0,5.199875
127.5,-16.0,5.141541
127.75,-16.0,4.5772796
128.0,-16.0,3.9429283
128.25,-16.0,3.9115734
128.5,-16.0,4.217194
128.75,-16.0,4.8829794
129.0,-16.0,5.4275937
129.25,-16.0,5.6660028
129.5,-16.0,5.588647
129.75,-16.0,5.432526
130.0,-16.0,5.574709
130.25,-16.0,5.82748
130.5,-16.0,5.6210275
130.75,-16.0,5.1772356
131.0,-16.0,5.14999
131.25,-16.0,5.4334145
131.5,-16.0,5.6578217
131.75,-16.0,5.839077
132.0,-16.0,5.7960334
132.25,-16.0,5.630861
132.5,-16.0,5.58084
132.75,-16.0,5.56804
133.0,-16.0,5.5148196
133.25,-16.0,5.505126
133.5,-16.0,5.501999
133.75,-16.0,5.51198
134.0,-16.0,5.4475374
134.25,-16.0,5.449486
134.5,-16.0,5.541405
134.75,-16.0,5.6584783
135.0,-16.0,5.473871
135.25,-16.0,5.156297
135.5,-16.0,5.034555
135.75,-16.0,4.8848634
136.0,-16.0,4.781071
136.25,-16.0,4.8431406
136.5,-16.0,4.9391294
136.75,-16.0,5.2342067
137.0,-16.0,5.2713933
141.5,-16.0,5.2000804
141.75,-16.0,5.016416
142.0,-16.0,5.0008707
142.25,-16.0,5.0499554
142.5,-16.0,5.06301
142.75,-16.0,5.1739135
143.0,-16.0,5.1745496
143.25,-16.0,5.2587004
143.5,-16.0,5.1854577
143.75,-16.0,5.0125017
144.0,-16.0,4.8927293
144.25,-16.0,5.1153836
144.5,-16.0,5.023198
144.75,-16.0,4.8484573
145.0,-16.0,4.6017723
145.25,-16.0,5.5741835
123.75,-16.25,5.4258
