Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-12.25,132.75,0.0337738969086092,141.2,0.08449861,484.90692,48,70,2,46
-12.25,133.0,0.0336409962665389,165.7,0.096445,480.73785,44,70,3,50
-12.25,133.25,0.0193833817384161,191.0,0.10664691,479.66635,39,84,4,51
-12.25,133.5,0.0080590241566477,216.9,0.12033081,479.20374,35,94,5,51
-12.25,133.75,-6.573545923900036e-05,243.1,0.12418363,476.92868,31,100,6,53
-12.25,134.0,-0.0050619858852726,269.7,0.12083505,472.953,27,96,5,57
-12.25,134.25,-0.0068126227950588,281.0,0.1256035,469.6846,26,95,6,59
-12.25,134.5,-0.0048685467197737,294.3,0.13218045,468.70517,24,96,7,60
-12.25,134.75,-0.0035159217692645,309.4,0.14095543,468.2803,22,97,8,60
-12.25,135.0,-0.0026661965236555,326.1,0.15204933,463.85635,20,98,10,64
-12.25,135.25,-0.0021193503391086,344.2,0.15609728,458.12198,18,99,11,68
-12.25,135.5,-0.0026073627040854,363.5,0.15629373,454.36398,16,98,11,71
-12.25,135.75,-0.0075805898395455,383.8,0.16522136,445.11307,15,94,12,77
-12.25,136.0,-0.0178404549530352,404.9,0.18363355,434.36047,13,86,15,83
-12.25,136.5,-0.0212835661867367,449.2,0.14551426,437.61777,10,82,9,81
-12.25,136.75,-0.031160991139976,472.2,0.18746455,452.46436,8,73,16,72
-12.25,141.75,0.0568511826828831,520.1,0.17752324,457.6087,6,43,14,69
-12.25,142.0,0.0529460825822925,500.7,0.15476571,440.9858,7,47,11,80
-12.25,142.25,0.0515442959698183,481.7,0.16165769,435.64066,8,49,12,82
-12.25,142.5,0.050162322375746,463.5,0.17136942,436.20715,9,51,13,82
-12.25,142.75,0.0450963428066599,446.2,0.20848493,442.9869,10,57,19,79
-12.25,143.0,0.0393354775672335,430.1,0.32467377,452.11646,11,64,55,73
-12.5,130.75,-0.0049065601125004,5.6,0.095398076,493.49905,93,96,3,38
-12.5,131.0,-0.0094395288754077,2.0,0.07533763,497.8793,98,93,2,31
-12.5,131.25,-0.0031128103853136,11.3,0.07396415,502.3395,89,98,2,26
-12.5,131.5,0.0070284320351978,23.5,0.07969139,505.75204,81,95,2,20
-12.5,131.75,0.012638777009921,39.0,0.08555665,506.997,74,90,2,18
-12.5,132.0,0.0153227991166724,58.5,0.089858726,505.70502,68,88,2,20
-12.5,132.25,0.017635167884596,79.9,0.088811755,502.1759,62,86,2,26
-12.5,132.5,0.0155943431007298,104.0,0.080187656,496.0799,56,88,2,34
-12.5,132.75,0.0194928381503337,129.5,0.081341356,489.64325,51,84,2,42
-12.5,133.0,0.0110102342341893,155.8,0.09840398,484.01608,45,92,3,47
-12.5,133.25,0.0002018687409526,182.4,0.120754845,481.1503,41,100,5,50
-12.5,133.5,-0.0040347390941211,209.3,0.14773272,479.11777,36,97,9,51
-12.5,133.75,-0.0087571261655761,235.2,0.14955164,476.15146,32,93,10,54
-12.5,134.0,-0.0133606113316047,244.8,0.13142814,472.38538,31,90,6,57
-12.5,134.25,-0.0137542336258948,256.9,0.11823366,469.57358,29,89,5,59
-12.5,134.5,-0.0088201507427064,271.3,0.115439035,467.71515,27,93,5,61
-12.5,134.75,-0.0064430819114758,287.6,0.1120013,466.45853,25,95,4,62
-12.5,135.0,-0.0051316659229563,305.5,0.110952444,463.74512,23,96,4,64
-12.5,135.25,-0.0020093506229819,324.7,0.11805301,458.0449,20,99,5,68
-12.5,135.5,-0.0045048875340615,345.0,0.121054724,451.35208,18,97,5,73
-12.5,135.75,-0.0112356935248022,366.3,0.11800946,444.04764,16,91,5,78
-12.5,136.0,-0.0186620244279592,388.3,0.12130823,434.7889,14,85,5,82
-12.5,136.25,-0.0204521299328743,411.0,0.118485145,431.22006,13,83,5,84
-12.5,136.5,-0.0245123274264014,434.3,0.124850094,439.13318,11,79,6,80
-12.5,136.75,-0.0369385686969118,458.0,0.1828501,455.42514,9,67,15,70
-12.5,141.75,0.0570430445529165,500.3,0.19053853,458.60178,7,43,16,68
-12.5,142.0,0.0523971147170024,481.4,0.15070412,441.92416,8,48,10,79
-12.5,142.25,0.0492699345706829,461.9,0.1421633,437.1055,9,52,9,81
-12.5,142.5,0.0457009250253793,443.0,0.15666682,437.89752,10,56,11,81
-12.5,142.75,0.0415070699350464,424.9,0.17219748,442.40244,11,62,13,79
-12.5,143.0,0.0377730179101317,407.9,0.21888386,449.44174,13,66,21,75
-12.5,143.25,0.0324412548914551,392.1,0.3687033,456.5597,14,72,74,69
-12.75,130.5,-0.0122080553428358,5.9,0.091442466,491.77707,93,91,3,40
-12.75,130.75,-0.0258342762699439,1.6,0.074010186,486.9357,98,78,2,45
-12.75,131.0,-0.0234056582785255,3.7,0.073470004,488.5263,96,80,2,43
