Latitude,Longitude,min_distance_nature_land_km
-15.0,132.25,49.6
-15.0,132.5,45.3
-15.0,132.75,37.8
-15.0,133.0,13.4
-15.0,133.25,1.4
-15.0,133.5,27.2
-15.0,133.75,54.2
-15.0,134.0,81.3
-15.0,134.25,108.4
-15.0,134.5,135.5
-15.0,134.75,162.6
-15.0,135.0,178.4
-15.0,135.25,164.4
-15.0,135.5,151.5
-15.0,135.75,132.3
-15.0,136.0,108.8
-15.0,141.25,86.2
-15.0,141.5,63.9
-15.0,141.75,45.5
-15.0,142.0,39.1
-15.0,142.25,46.3
-15.0,142.5,59.3
-15.0,142.75,78.0
-15.0,143.0,83.2
-15.0,143.25,56.3
-15.0,143.5,29.3
-15.0,143.75,2.3
-15.0,144.0,0.0
-15.0,144.25,0.0
-15.0,144.5,6.0
-15.0,144.75,10.1
-15.0,145.0,3.8
-15.0,145.25,14.6
-15.0,145.5,32.8
-15.25,124.75,12.0
-15.25,125.0,0.0
-15.25,125.25,0.0
-15.25,125.5,0.0
-15.25,125.75,7.5
-15.25,126.0,34.6
-15.25,126.25,38.6
-15.25,126.5,13.5
-15.25,126.75,0.0
-15.25,127.0,0.0
-15.25,127.25,3.8
-15.25,127.5,30.9
-15.25,127.75,44.3
-15.25,128.0,18.2
-15.25,128.25,0.0
-15.25,128.5,13.7
-15.25,128.75,21.3
-15.25,129.0,19.5
-15.25,129.25,41.5
-15.25,129.5,57.6
-15.25,129.75,72.3
-15.25,130.0,52.8
-15.25,130.25,37.0
-15.25,130.5,37.5
-15.25,130.75,35.5
-15.25,131.0,12.8
-15.25,131.25,17.3
-15.25,131.5,27.6
-15.25,131.75,48.5
-15.25,132.0,66.1
-15.25,132.25,75.5
-15.25,132.5,72.6
-15.25,132.75,49.7
-15.25,133.0,31.9
-15.25,133.25,25.7
-15.25,133.5,38.2
-15.25,133.75,61.1
-15.25,134.0,86.4
-15.25,134.25,112.6
-15.25,134.5,135.0
-15.25,134.75,142.9
-15.25,135.0,153.7
-15.25,135.25,142.0
-15.25,135.5,126.9
-15.25,135.75,116.2
-15.25,136.0,96.5
-15.25,136.25,71.6
-15.25,141.25,76.3
-15.25,141.5,50.1
-15.25,141.75,25.7
-15.25,142.0,12.1
-15.25,142.25,21.2
-15.25,142.5,39.4
-15.25,142.75,62.0
-15.25,143.0,82.8
-15.25,143.25,56.1
-15.25,143.5,30.1
-15.25,143.75,11.4
-15.25,144.0,8.7
-15.25,144.25,0.0
-15.25,144.5,0.0
-15.25,144.75,8.2
-15.25,145.0,22.2
-15.25,145.25,18.5
-15.25,145.5,35.3
-15.5,124.5,46.0
-15.5,124.75,23.8
-15.5,125.0,10.0
-15.5,125.25,0.0
-15.5,125.5,0.0
-15.5,125.75,7.5
-15.5,126.0,34.6
-15.5,126.25,38.2
-15.5,126.5,12.9
-15.5,126.75,7.6
-15.5,127.0,20.8
-15.5,127.25,20.0
-15.5,127.5,36.5
-15.5,127.75,49.2
-15.5,128.0,22.2
-15.5,128.25,0.8
-15.5,128.5,12.9
-15.5,128.75,17.1
-15.5,129.0,15.1
-15.5,129.25,26.0
-15.5,129.5,33.8
-15.5,129.75,54.3
-15.5,130.0,35.4
-15.5,130.25,14.7
-15.5,130.5,15.1
-15.5,130.75,31.3
-15.5,131.0,6.7
-15.5,131.25,0.0
-15.5,131.5,11.7
-15.5,131.75,37.8
-15.5,132.0,64.7
-15.5,132.25,91.6
-15.5,132.5,88.0
-15.5,132.75,69.4
-15.5,133.0,56.4
-15.5,133.25,53.1
-15.5,133.5,60.2
-15.5,133.75,76.7
-15.5,134.0,98.0
-15.5,134.25,104.6
-15.5,134.5,108.3
-15.5,134.75,117.2
-15.5,135.0,130.1
-15.5,135.25,121.8
-15.5,135.5,103.8
-15.5,135.75,90.4
-15.5,136.0,83.8
-15.5,136.25,63.8
-15.5,136.5,37.2
-15.5,141.25,75.5
-15.5,141.5,49.0
-15.5,141.75,23.5
-15.5,142.0,2.1
-15.5,142.25,1.6
-15.5,142.5,28.6
-15.5,142.75,55.6
-15.5,143.0,82.6
-15.5,143.25,67.2
-15.5,143.5,47.8
-15.5,143.75,38.8
-15.5,144.0,27.2
-15.5,144.25,10.3
-15.5,144.5,1.4
-15.5,144.75,18.8
-15.5,145.0,20.1
-15.5,145.25,0.1
-15.5,145.5,24.4
-15.75,124.25,83.2
-15.75,124.5,62.3
-15.75,124.75,46.9
-15.75,125.0,24.5
-15.75,125.25,0.0
-15.75,125.5,0.0
-15.75,125.75,7.5
-15.75,126.0,34.5
-15.75,126.25,51.1
-15.75,126.5,35.7
-15.75,126.75,34.8
-15.75,127.0,44.6
-15.75,127.25,47.2
-15.75,127.5,56.3
-15.75,127.75,53.1
-15.75,128.0,26.9
-15.75,128.25,2.1
-15.75,128.5,17.8
-15.75,128.75,0.0
-15.75,129.0,10.8
-15.75,129.25,0.0
-15.75,129.5,17.9
-15.75,129.75,36.6
-15.75,130.0,16.8
-15.75,130.25,0.0
-15.75,130.5,7.3
-15.75,130.75,25.9
-15.75,131.0,3.2
-15.75,131.25,3.5
-15.75,131.5,11.0
-15.75,131.75,37.5
-15.75,132.0,64.4
-15.75,132.25,91.4
-15.75,132.5,107.7
-15.75,132.75,92.7
-15.75,133.0,82.8
-15.75,133.25,80.6
-15.75,133.5,85.4
-15.75,133.75,93.5
-15.75,134.0,81.4
-15.75,134.25,77.1
-15.75,134.5,82.0
-15.75,134.75,92.5
-15.75,135.0,108.4
-15.75,135.25,104.8
-15.75,135.5,83.3
-15.75,135.75,65.9
-15.75,136.0,56.5
-15.75,136.25,58.1
-15.75,136.5,38.4
-15.75,136.75,15.3
-15.75,137.0,17.9
-15.75,137.25,41.2
-15.75,141.25,84.0
-15.75,141.5,61.3
-15.75,141.75,39.3
-15.75,142.0,20.6
-15.75,142.25,24.4
-15.75,142.5,39.7
-15.75,142.75,54.6
-15.75,143.0,64.0
-15.75,143.25,78.7
-15.75,143.5,71.9
-15.75,143.75,57.6
-15.75,144.0,32.8
-15.75,144.25,15.9
-15.75,144.5,24.4
-15.75,144.75,37.5
-15.75,145.0,13.3
-15.75,145.25,0.0
-15.75,145.5,14.2
-16.0,123.75,128.6
-16.0,124.0,106.4
-16.0,124.25,86.8
-16.0,124.5,72.1
-16.0,124.75,51.4
-16.0,125.0,24.5
-16.0,125.25,1.9
-16.0,125.5,1.9
-16.0,125.75,7.7
-16.0,126.0,34.5
-16.0,126.25,61.4
-16.0,126.5,62.3
-16.0,126.75,62.2
-16.0,127.0,68.5
-16.0,127.25,74.7
-16.0,127.5,80.7
-16.0,127.75,62.4
-16.0,128.0,39.7
-16.0,128.25,25.8
-16.0,128.5,31.0
-16.0,128.75,22.2
-16.0,129.0,14.8
-16.0,129.25,15.6
-16.0,129.5,29.7
-16.0,129.75,24.4
-16.0,130.0,0.0
-16.0,130.25,0.0
-16.0,130.5,0.0
-16.0,130.75,4.6
-16.0,131.0,3.3
-16.0,131.25,14.6
-16.0,131.5,32.7
-16.0,131.75,48.5
-16.0,132.0,71.4
-16.0,132.25,96.3
-16.0,132.5,122.1
-16.0,132.75,117.4
-16.0,133.0,109.7
-16.0,133.25,108.1
-16.0,133.5,93.9
-16.0,133.75,72.5
-16.0,134.0,56.0
-16.0,134.25,49.6
-16.0,134.5,56.2
-16.0,134.75,69.9
-16.0,135.0,89.8
-16.0,135.25,93.0
-16.0,135.5,67.9
-16.0,135.75,44.9
-16.0,136.0,29.5
-16.0,136.25,32.4
-16.0,136.5,51.1
-16.0,136.75,40.1
-16.0,137.0,42.0
-16.0,137.25,56.4
-16.0,137.5,77.8
-16.0,137.75,101.6
-16.0,141.0,121.2
-16.0,141.25,99.1
-16.0,141.5,77.7
-16.0,141.75,58.4
-16.0,142.0,46.7
-16.0,142.25,48.8
-16.0,142.5,32.3
-16.0,142.75,27.8
-16.0,143.0,40.8
-16.0,143.25,57.6
-16.0,143.5,66.0
-16.0,143.75,53.9
-16.0,144.0,27.3
-16.0,144.25,1.2
-16.0,144.5,14.7
-16.0,144.75,31.1
-16.0,145.0,10.9
-16.0,145.25,7.3
-16.0,145.5,5.4
-16.25,123.5,142.5
-16.25,123.75,116.9
-16.25,124.0,92.0
-16.25,124.25,68.4
-16.25,124.5,48.5
-16.25,124.75,38.1
-16.25,125.0,38.2
-16.25,125.25,29.4
-16.25,125.5,29.4
-16.25,125.75,30.4
-16.25,126.0,45.3
-16.25,126.25,68.0
-16.25,126.5,89.4
-16.25,126.75,89.7
-16.25,127.0,94.3
-16.25,127.25,102.2
-16.25,127.5,99.4
-16.25,127.75,78.2
-16.25,128.0,61.4
-16.25,128.25,53.1
-16.25,128.5,55.9
-16.25,128.75,49.6
-16.25,129.0,39.1
-16.25,129.25,40.1
-16.25,129.5,51.2
-16.25,129.75,24.4
-16.25,130.0,0.0
-16.25,130.25,0.0
-16.25,130.5,0.0
-16.25,130.75,2.0
-16.25,131.0,28.3
-16.25,131.25,31.7
-16.25,131.5,50.1
-16.25,131.75,69.4
-16.25,132.0,86.9
-16.25,132.25,108.3
-16.25,132.5,131.7
-16.25,132.75,143.1
-16.25,133.0,135.1
-16.25,133.25,108.7
-16.25,133.5,82.6
-16.25,133.75,57.2
-16.25,134.0,34.1
-16.25,134.25,22.1
-16.25,134.5,31.6
-16.25,134.75,52.3
-16.25,135.0,76.8
-16.25,135.25,88.4
-16.25,135.5,61.6
-16.25,135.75,34.7
-16.25,136.0,7.9
-16.25,136.25,15.6
-16.25,136.5,42.4
-16.25,136.75,67.1
-16.25,137.0,68.4
-16.25,137.25,78.3
-16.25,137.5,94.9
-16.25,137.75,115.4
-16.25,138.0,138.1
-16.25,141.0,133.2
-16.25,141.25,107.3
-16.25,141.5,82.0
-16.25,141.75,58.1
-16.25,142.0,38.3
-16.25,142.25,30.9
-16.25,142.5,18.3
-16.25,142.75,2.9
