Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,min_distance_to_line_km
-13.0,130.25,0.95997171145686,0.9624630224000776,0.1294394539575391,28.3
-13.0,130.5,0.9705799151343706,0.9344980130024063,0.08098014154713484,20.8
-13.0,130.75,0.9691654879773691,0.932845110157395,0.08512133847293477,21.8
-13.0,131.0,0.9909476661951909,0.9382573684840243,0.08870868779264761,6.4
-13.0,131.25,0.977086280056577,0.9457881310726645,0.0860206647131218,16.2
-13.0,131.5,0.9732673267326732,0.9536717454267116,0.09233721191591046,18.9
-13.0,131.75,0.9783592644978784,0.9645369076270528,0.10312966189169924,15.3
-13.0,132.0,0.9431400282885432,0.9737018259424158,0.10916881305527418,40.2
-13.0,132.25,0.904950495049505,0.9835751391364427,0.09788000740659722,67.2
-13.0,132.5,0.8663366336633663,0.9760216746763974,0.10107483015349213,94.5
-13.0,132.75,0.8274398868458275,0.9603668057582109,0.1228872093305383,122.0
-13.0,133.0,0.7885431400282885,0.9580355290116639,0.18565291651720983,149.5
-13.0,133.25,0.7620933521923621,0.9675399505643936,0.24146291532095335,168.2
-13.0,133.5,0.7519094766619518,0.9802293618024605,0.2567896383944523,175.4
-13.0,133.75,0.7398868458274399,0.9885609949168584,0.24383123612498006,183.9
-13.0,134.0,0.7227722772277227,0.9946351268313178,0.20465051024344558,196.0
-13.0,134.25,0.7016973125884016,0.9929469104882693,0.18454077616047115,210.9
-13.0,134.5,0.6773691654879774,0.9917595916571044,0.16420224123544253,228.1
-13.0,134.75,0.6503536067892504,0.9978268886905761,0.14290900594702,247.2
-13.0,135.0,0.6213578500707213,0.9897870815305433,0.138485307029149,267.7
-13.0,135.25,0.5906647807637907,0.9984448498474372,0.161047268452057,289.4
-13.0,135.5,0.5586987270155587,0.9707396193243683,0.14895209133752824,312.0
-13.0,135.75,0.5258840169731259,0.9483750395068316,0.1310424942894317,335.2
-13.0,136.0,0.49207920792079207,0.9414710829265459,0.12338629849334,359.1
-13.0,136.25,0.4577086280056577,0.9332950100732992,0.1531466928554771,383.4
-13.0,136.5,0.42263083451202266,0.9161753999660499,0.24424588527005806,408.2
-13.0,141.75,0.34639321074964635,0.8850202459400227,0.2565012197505696,462.1
-13.0,142.0,0.3746817538896746,0.8986204385822075,0.21138728961552242,442.1
-13.0,142.25,0.401980198019802,0.8988418491888539,0.20301276941754462,422.8
-13.0,142.5,0.42871287128712876,0.9123784641298951,0.21414255396815685,403.9
-13.0,142.75,0.45629420084865635,0.9216214674917325,0.24928922251233568,384.4
-13.0,143.0,0.48288543140028284,0.9211923023427788,0.2658658886475298,365.6
-13.0,143.25,0.5079207920792079,0.9254971233194276,0.3517141210776986,347.9
-13.25,130.25,0.9268741159830268,0.9549688645017667,0.1500220044326311,51.7
-13.25,130.5,0.9323903818953324,0.9408605874776859,0.09744254586987064,47.8
-13.25,130.75,0.9466760961810466,0.9387760405879539,0.10255902975497573,37.7
-13.25,131.0,0.9841584158415841,0.9329329830104837,0.10217514848870032,11.2
-13.25,131.25,0.9881188118811881,0.9330343598374248,0.10207481039048899,8.4
-13.25,131.5,0.9623762376237623,0.9309453334029227,0.11076609146119931,26.6
-13.25,131.75,0.9446958981612447,0.9373766520570675,0.12437907269649054,39.1
-13.25,132.0,0.9236209335219236,0.9496920463723673,0.12069691833922268,54.0
-13.25,132.25,0.8978783592644979,0.9586595408643576,0.11700109814411475,72.2
-13.25,132.5,0.8711456859971711,0.9561412671637496,0.1305896246373907,91.1
-13.25,132.75,0.8394625176803394,0.9551284397793409,0.16175054576559833,113.5
-13.25,133.0,0.8057991513437057,0.9632708788444879,0.2425512021100505,137.3
-13.25,133.25,0.7995756718528996,0.9750195540113907,0.26951757974250073,141.7
-13.25,133.5,0.7891089108910891,0.9886119799255937,0.26607657367199666,149.1
-13.25,133.75,0.7751060820367751,0.9916507771577203,0.21241877912599177,159.0
-13.25,134.0,0.7555869872701556,0.9802532756279071,0.17845806806003717,172.8
-13.25,134.25,0.731966053748232,0.9782483110258801,0.15851679173989375,189.5
-13.25,134.5,0.7050919377652051,0.9713463726850625,0.14564540664048703,208.5
