Longitude,Latitude,avg_solar_radiation
142.5,-13.25,451.91394
142.75,-13.25,447.779
143.0,-13.25,440.82306
143.25,-13.25,430.70346
143.5,-13.25,430.05835
143.75,-13.25,446.23834
129.75,-13.5,493.10263
130.0,-13.5,484.22665
130.25,-13.5,479.58194
130.5,-13.5,481.8849
130.75,-13.5,484.60754
131.0,-13.5,487.60123
131.25,-13.5,490.2347
131.5,-13.5,494.29117
131.75,-13.5,496.42865
132.0,-13.5,498.0726
132.25,-13.5,499.2842
132.5,-13.5,500.85678
132.75,-13.5,501.98413
133.0,-13.5,500.93472
133.25,-13.5,498.04172
133.5,-13.5,495.053
133.75,-13.5,493.15222
134.0,-13.5,492.2882
134.25,-13.5,490.0486
134.5,-13.5,486.566
134.75,-13.5,482.0689
135.0,-13.5,476.70715
135.25,-13.5,470.31824
135.5,-13.5,465.72537
135.75,-13.5,465.9426
136.0,-13.5,469.57028
136.25,-13.5,480.87198
141.25,-13.5,497.6857
141.5,-13.5,487.66635
141.75,-13.5,474.4373
142.0,-13.5,459.17398
142.25,-13.5,456.61975
142.5,-13.5,456.22684
142.75,-13.5,451.9757
143.0,-13.5,441.39343
143.25,-13.5,431.3564
143.5,-13.5,430.1696
143.75,-13.5,446.98605
126.75,-13.75,513.51184
127.0,-13.75,516.6531
127.25,-13.75,517.9597
127.5,-13.75,521.2872
129.5,-13.75,504.9814
129.75,-13.75,491.20465
130.0,-13.75,482.2334
130.25,-13.75,478.5342
130.5,-13.75,481.71243
130.75,-13.75,487.2447
131.0,-13.75,490.81332
131.25,-13.75,493.43506
131.5,-13.75,496.45786
131.75,-13.75,498.2673
132.0,-13.75,500.5802
132.25,-13.75,502.24817
132.5,-13.75,502.39548
132.75,-13.75,503.31027
133.0,-13.75,502.77002
133.25,-13.75,500.80566
133.5,-13.75,496.70062
133.75,-13.75,495.12415
134.0,-13.75,494.32016
134.25,-13.75,492.49768
134.5,-13.75,489.12628
134.75,-13.75,484.8001
135.0,-13.75,480.0757
135.25,-13.75,475.3594
135.5,-13.75,473.71072
135.75,-13.75,474.73444
136.0,-13.75,480.5644
141.25,-13.75,499.04813
141.5,-13.75,490.25983
141.75,-13.75,478.81122
142.0,-13.75,462.97943
142.25,-13.75,460.5147
142.5,-13.75,460.2521
142.75,-13.75,455.70554
143.0,-13.75,445.6929
143.25,-13.75,434.43707
143.5,-13.75,433.37692
143.75,-13.75,449.62543
126.25,-14.0,506.6006
126.5,-14.0,503.64636
126.75,-14.0,503.88025
127.0,-14.0,507.1991
127.25,-14.0,511.8077
127.5,-14.0,515.0878
127.75,-14.0,521.72345
129.5,-14.0,506.3313
129.75,-14.0,492.63898
130.0,-14.0,481.3386
130.25,-14.0,476.88974
130.5,-14.0,481.51437
130.75,-14.0,488.69943
131.0,-14.0,492.16785
131.25,-14.0,496.73718
131.5,-14.0,499.25098
131.75,-14.0,501.9859
132.0,-14.0,504.08682
132.25,-14.0,505.1141
132.5,-14.0,503.96292
132.75,-14.0,504.17703
133.0,-14.0,504.0818
133.25,-14.0,502.07208
133.5,-14.0,499.33353
133.75,-14.0,497.77145
134.0,-14.0,495.9649
134.25,-14.0,494.27313
134.5,-14.0,490.95755
134.75,-14.0,486.35217
135.0,-14.0,483.37958
135.25,-14.0,482.6709
135.5,-14.0,483.14313
135.75,-14.0,486.05844
136.0,-14.0,491.18167
136.25,-14.0,494.824
141.25,-14.0,501.68472
141.5,-14.0,492.7999
141.75,-14.0,482.1683
142.0,-14.0,467.8432
142.25,-14.0,464.57147
142.5,-14.0,464.31177
142.75,-14.0,460.22717
143.0,-14.0,451.25748
143.25,-14.0,440.4026
143.5,-14.0,438.04178
143.75,-14.0,453.10962
144.0,-14.0,475.87512
144.25,-14.0,488.51788
144.5,-14.0,489.05304
125.5,-14.25,512.2488
